From_Category,To_Category,Percentage_of_finished_paths,Percentage_of_unfinished_paths
C0001,C0127,61.392405063291136,38.607594936708864
C0001,C0128,85.21400778210116,14.785992217898833
C0001,C0129,58.41821449970042,41.58178550029958
C0001,C0130,74.95559502664298,25.044404973357015
C0001,C0131,76.15384615384616,23.846153846153847
C0001,C0132,71.1018711018711,28.8981288981289
C0001,C0133,56.87458081824279,43.12541918175721
C0001,C0134,63.64251861882194,36.35748138117806
C0001,C0135,53.816300129366105,46.183699870633895
C0001,C0136,65.06849315068493,34.93150684931507
C0001,C0137,48.01344743276284,51.98655256723716
C0001,C0138,67.98679867986799,32.01320132013201
C0001,C0139,84.20123565754633,15.798764342453662
C0001,C0140,75.08532423208192,24.914675767918087
C0001,C0141,70.6896551724138,29.310344827586206
C0001,C0142,79.71830985915493,20.281690140845072
C0001,C0143,76.00373482726424,23.99626517273576
C0001,C0144,72.3623262995368,27.6376737004632
C0001,C0145,72.27564102564102,27.724358974358974
C0001,C0146,83.10708898944193,16.89291101055807
C0002,C0001,66.88524590163935,33.114754098360656
C0002,C0002,83.33333333333333,16.666666666666668
C0002,C0003,71.42857142857143,28.571428571428573
C0002,C0004,86.95652173913044,13.043478260869565
C0002,C0005,84.61538461538461,15.384615384615385
C0002,C0006,28.571428571428573,71.42857142857143
C0002,C0007,59.09090909090909,40.90909090909091
C0002,C0008,76.98412698412699,23.015873015873016
C0002,C0009,78.57142857142857,21.428571428571427
C0002,C0010,66.66666666666667,33.333333333333336
C0002,C0011,50.0,50.0
C0002,C0012,0.0,100.0
C0002,C0013,65.21739130434783,34.78260869565217
C0002,C0014,71.83098591549296,28.169014084507044
C0002,C0015,73.6842105263158,26.31578947368421
C0002,C0016,63.30275229357798,36.69724770642202
C0002,C0017,83.33333333333333,16.666666666666668
C0002,C0020,81.81818181818181,18.181818181818183
C0002,C0021,50.0,50.0
C0002,C0022,0.0,100.0
C0002,C0026,0.0,100.0
C0002,C0027,50.0,50.0
C0002,C0029,91.66666666666667,8.333333333333334
C0002,C0031,100.0,0.0
C0002,C0032,0.0,100.0
C0002,C0033,0.0,100.0
C0002,C0034,40.0,60.0
C0002,C0035,50.0,50.0
C0002,C0036,0.0,100.0
C0002,C0037,22.22222222222222,77.77777777777777
C0002,C0038,81.81818181818181,18.181818181818183
C0002,C0039,80.0,20.0
C0002,C0040,60.0,40.0
C0002,C0041,0.0,100.0
C0002,C0042,66.66666666666667,33.333333333333336
C0002,C0043,0.0,100.0
C0002,C0044,66.66666666666667,33.333333333333336
C0002,C0045,33.333333333333336,66.66666666666667
C0002,C0047,100.0,0.0
C0002,C0048,14.285714285714286,85.71428571428571
C0002,C0049,73.33333333333333,26.666666666666668
C0002,C0051,86.66666666666667,13.333333333333334
C0002,C0052,100.0,0.0
C0002,C0053,85.71428571428571,14.285714285714286
C0002,C0054,90.9090909090909,9.090909090909092
C0002,C0055,68.75,31.25
C0002,C0056,42.857142857142854,57.142857142857146
C0002,C0057,40.0,60.0
C0002,C0058,100.0,0.0
C0002,C0059,88.88888888888889,11.11111111111111
C0002,C0061,70.0,30.0
C0002,C0062,71.42857142857143,28.571428571428573
C0002,C0063,100.0,0.0
C0002,C0064,0.0,100.0
C0002,C0065,66.66666666666667,33.333333333333336
C0002,C0067,50.0,50.0
C0002,C0068,80.0,20.0
C0002,C0070,80.0,20.0
C0002,C0072,100.0,0.0
C0002,C0073,100.0,0.0
C0002,C0074,83.33333333333333,16.666666666666668
C0002,C0075,100.0,0.0
C0002,C0076,50.0,50.0
C0002,C0078,87.5,12.5
C0002,C0079,25.0,75.0
C0002,C0080,0.0,100.0
C0002,C0081,50.0,50.0
C0002,C0082,0.0,100.0
C0002,C0083,75.0,25.0
C0002,C0084,100.0,0.0
C0002,C0085,75.0,25.0
C0002,C0086,0.0,100.0
C0002,C0087,76.47058823529412,23.529411764705884
C0002,C0089,40.0,60.0
C0002,C0090,0.0,100.0
C0002,C0091,50.0,50.0
C0002,C0092,33.333333333333336,66.66666666666667
C0002,C0093,75.0,25.0
C0002,C0094,100.0,0.0
C0002,C0096,50.0,50.0
C0002,C0097,0.0,100.0
